date;code;PM10_day
07.11.22;mc171;36
08.11.22;mc171;15
09.11.22;mc171;12
10.11.22;mc171;25
11.11.22;mc171;16
12.11.22;mc171;25
13.11.22;mc171;25
14.11.22;mc171;35
15.11.22;mc171;33
16.11.22;mc171;26
17.11.22;mc171;20
18.11.22;mc171;22
19.11.22;mc171;15
20.11.22;mc171;19
21.11.22;mc171;23
22.11.22;mc171;25
23.11.22;mc171;29
24.11.22;mc171;42
25.11.22;mc171;32
26.11.22;mc171;26
27.11.22;mc171;24
28.11.22;mc171;28
29.11.22;mc171;38
30.11.22;mc171;44
01.12.22;mc171;37
02.12.22;mc171;29
03.12.22;mc171;39
04.12.22;mc171;44
05.12.22;mc171;30
06.12.22;mc171;14
07.12.22;mc171;13
08.12.22;mc171;14
09.12.22;mc171;21
10.12.22;mc171;20
11.12.22;mc171;18
12.12.22;mc171;14
13.12.22;mc171;22
01.10.22;mc174;18
02.10.22;mc174;13
03.10.22;mc174;12
04.10.22;mc174;15
05.10.22;mc174;19
06.10.22;mc174;17
07.10.22;mc174;25
08.10.22;mc174;17
09.10.22;mc174;15
10.10.22;mc174;20
11.10.22;mc174;22
12.10.22;mc174;29
13.10.22;mc174;40
14.10.22;mc174;37
15.10.22;mc174;21
16.10.22;mc174;16
17.10.22;mc174;27
18.10.22;mc174;22
19.10.22;mc174;11
20.10.22;mc174;16
21.10.22;mc174;25
22.10.22;mc174;24
23.10.22;mc174;20
24.10.22;mc174;19
25.10.22;mc174;18
26.10.22;mc174;23
27.10.22;mc174;26
28.10.22;mc174;29
29.10.22;mc174;37
30.10.22;mc174;48
31.10.22;mc174;50
01.11.22;mc174;37
02.11.22;mc174;22
03.11.22;mc174;23
04.11.22;mc174;23
05.11.22;mc174;20
06.11.22;mc174;19
07.11.22;mc174;17
08.11.22;mc174;18
09.11.22;mc174;16
10.11.22;mc174;17
11.11.22;mc174;20
12.11.22;mc174;34
13.11.22;mc174;26
14.11.22;mc174;39
15.11.22;mc174;38
16.11.22;mc174;27
17.11.22;mc174;21
18.11.22;mc174;24
19.11.22;mc174;19
